birth_year,profile,photo,name,id,birth_day,birth_month,country_id
1987,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034495-beat-feuz.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034495.jpg,beat feuz,3034495,11,02,SUI
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034733-gilles-roulin.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034733.jpg,gilles roulin,3034733,14,05,SUI
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034536-marc-gisin.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034536.jpg,marc gisin,3034536,25,06,SUI
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034464-mauro-caviezel.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034464.jpg,mauro caviezel,3034464,18,08,SUI
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034641-patrick-kueng.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034641.jpg,patrick kueng,3034641,11,01,SUI
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3022334-ivan-kovbasnyuk.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3022334.jpg,ivan kovbasnyuk,3022334,18,05,UKR
1986,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3018774-andrew-weibrecht.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3018774.jpg,andrew weibrecht,3018774,10,02,USA
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3019708-bryce-bennett.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3019708.jpg,bryce bennett,3019708,14,07,USA
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3018737-jared-goldberg.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3018737.jpg,jared goldberg,3018737,17,06,USA
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3019806-ryan-cochran-siegle.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3019806.jpg,ryan cochran-siegle,3019806,27,03,USA
